"fips","county_name","state_postal","region","election_date","racetype","tvotes","clinton","obama","edwards","margin","winner","POP05_SQMI","popUnder30_00","pop65up_00","presVote04","kerry04","Bush04","pres04margin","pres04winner","pop06","pop00","hisp06","white06","black06","indian06","asian06","hawaii06","mixed06","pct_less_30k","pct_more_100k","pct_hs_grad","pct_labor_force","pct_homeowner","unempFeb07","unempFeb08","unempChg","pctUnins00","subForPctHomes","poverty05","median_hhi05","Catholic","So.Bapt.Conv","Un.Methodist","E.L.C.A.","Construction","Manufacturing","FinancialActivities","GoodsProducing","ServiceProviding","black06pct","hisp06pct","white06pct","growth"
51690,"Martinsville","VA","S","2/12/08","Primary",1767,509,1248,6,0.418222977,"obama",1340.5,26.1,20.6,5603,0.541852579,0.452971622,-0.088880957,"kerry",14945,15327,609,7923,6177,19,95,0,122,0.5341,0.059176145,0.6852,0.541,0.6023,8.5,11.9,3.4,14.5,0.1,21.1,29090,0.0508562532433835,0.276920083030618,0.0987934613388687,0,0,14.18601298,4.449891853,15.95097332,84.04902668,0.413315490130478,0.0407494145199063,0.530143860823018,-2.49233379004371
51700,"Newport News","VA","S","2/12/08","Primary",25050,6087,18814,110,0.508063872,"obama",2624.3,35.8,10.1,67952,0.519763951,0.473981634,-0.045782317,"kerry",178281,180539,7883,86140,75121,687,4574,153,3723,0.3937,0.059197133,0.8451,0.6831,0.5242,3.7,4.4,0.7,15.6,0.1,14.2,43938,0.0633583125173467,0.107110741049126,0.0415098529003608,0.00477935054121565,5.062053741,29.01964458,4.940675239,34.09676881,65.90323119,0.421362904628087,0.0442167140637533,0.483169827407295,-1.25069929488919
51710,"Norfolk","VA","S","2/12/08","Primary",30779,8236,21555,118,0.432730108,"obama",4263.7,41.3,10.9,70570,0.616664305,0.374110812,-0.242553493,"kerry",229112,234035,10028,105075,101418,990,6675,276,4650,0.4677,0.063101952,0.7838,0.6707,0.4555,4.4,5.2,0.8,19.3,0.08,18.9,36335,0.0471794302973938,0.104725622112345,0.0327214242138539,0.00722686996326839,5.49416196,6.571323643,8.287983683,12.07641201,87.92358799,0.442656866510702,0.0437689863472887,0.458618492265791,-2.10353152306278
51720,"Norton","VA","S","2/12/08","Primary",351,259,85,6,-0.495726496,"clinton",505.9,29.4,15.3,1504,0.482047872,0.510638298,0.028590426,"bush",3643,3887,40,3237,269,3,56,3,35,0.5861,0.052601156,0.6649,0.4959,0.5595,4.7,6.1,1.4,14,0,22.1,27343,0.0530225409836066,0,0,0,3.001339884,3.849933006,2.876284055,10.22778026,89.77221974,0.0738402415591545,0.0109799615701345,0.888553390063135,-6.27733470542835
51730,"Petersburg","VA","S","2/12/08","Primary",6210,914,5244,25,0.69726248,"obama",1386.6,29.1,15.6,11949,0.810277011,0.187296008,-0.622981003,"kerry",32445,33590,780,5858,25056,61,358,8,324,0.5157,0.043639,0.6864,0.5654,0.5155,7.7,7.1,-0.6,18,0.1,21.8,30942,0.0362181387077653,0.0340248962655602,0.0521339656194428,0.00773562537048014,0,13.99224806,3.950719823,20.196567,79.803433,0.772260748959778,0.024040684234859,0.1805517028818,-3.40875260494194
51735,"Poquoson","VA","S","2/12/08","Primary",1227,555,657,11,0.083129584,"obama",773.9,24.1,11.4,6480,0.219753086,0.772222222,0.552469136,"bush",11918,11584,197,11168,162,30,241,4,116,0.192,0.18674988,0.8853,0.6685,0.8406,2.5,2.8,0.3,7.7,0,4.6,71435,0.0493688397025765,0.110236901262321,0.279612657790074,0,16.83428072,0,0,18.27721906,81.72278094,0.0135928847122,0.0165296190636013,0.937069978184259,2.88328729281768
51740,"Portsmouth","VA","S","2/12/08","Primary",17420,3906,13407,71,0.545407577,"obama",3482,32.8,13.8,39534,0.609905398,0.384782719,-0.225122679,"kerry",101377,100402,2309,42891,53049,478,887,109,1654,0.4426,0.047932454,0.7515,0.6213,0.5855,4.2,5.4,1.2,15.9,0.18,17.2,39166,0.0318003281459752,0.133525580470343,0.0546015015164322,0.00730870581216129,10.04752538,8.181940355,4.697560201,18.22946574,81.77053426,0.523284374167711,0.0227763693934522,0.423084131509119,0.971096193302912
51750,"Radford","VA","S","2/12/08","Primary",1228,514,694,12,0.146579805,"obama",1499.6,59.1,9.2,4845,0.463157895,0.529205366,0.066047472,"bush",14525,15818,211,12455,1172,37,420,6,224,0.5534,0.052722261,0.8339,0.5484,0.445,3.9,4.3,0.4,10.8,0.1,28.2,28201,0,0.0367614603695063,0.0294470017025033,0.0122328015637808,0,36.75040834,6.704518939,40.44489383,59.55510617,0.0806884681583477,0.014526678141136,0.857487091222031,-8.17423188772285
51760,"Richmond City","VA","S","2/12/08","Primary",34552,7170,27131,103,0.57770896,"obama",3110.3,37.4,13.2,74325,0.701876892,0.291113354,-0.410763539,"kerry",192913,197755,8240,74116,104700,582,2867,141,2267,0.4816,0.082905659,0.7518,0.6242,0.4614,4.5,5.5,1,17.3,0.14,19.9,34352,0.0509125840537944,0.124682744324789,0.0581273067394712,0.00255826887102482,0,8.185009182,8.382544719,15.06947751,84.93052249,0.542731697708293,0.0427135548148647,0.384193911244965,-2.44848423554398
51770,"Roanoke City","VA","S","2/12/08","Primary",10685,4461,6097,89,0.153111839,"obama",2159,31,16.4,36000,0.523944444,0.462805556,-0.061138889,"kerry",91552,94744,2143,61924,24670,187,1194,48,1386,0.4877,0.05013563,0.76,0.627,0.5626,4.1,5,0.9,14.4,0.15,17.2,33501,0.0466226254069602,0.148486476804585,0.0780731422069096,0.0283423417728187,0,7.544886996,6.429097636,15.13279238,84.86720762,0.269464348130024,0.0234074624257253,0.676380636141209,-3.36907878071434
