fips,name,lon,lat
04015,Mohave,-113.75822785062114,35.704987097440366
22105,Tangipahoa,-90.40497552747873,30.626270573873658
16063,Lincoln,-114.13824885669405,43.002348192429565
27119,Polk,-96.40159151040905,47.77420583010574
38017,Cass,-97.2483511038892,46.933123281396384
46081,Lawrence,-103.79250820880186,44.358145163964664
36095,Schoharie,-74.44319013623443,42.58732991614882
02275,Wrangell,-131.94992109144826,56.32478453751914
13143,Haralson,-85.21146248899151,33.79434314570203
13023,Bleckley,-83.32818198222243,32.434633949990285
18093,Lawrence,-86.48400989800722,38.84115340686492
18079,Jennings,-85.62875281968265,38.99695408347079
26087,Lapeer,-83.22232474798399,43.09033065478799
28017,Chickasaw,-88.94760097370401,33.920736061397264
39033,Crawford,-82.92014389972417,40.85067483455366
46099,Minnehaha,-96.79078438160238,43.67429902386353
46125,Turner,-97.1478567267288,43.31094072985547
48471,Walker,-95.57184167962235,30.73945011564162
72133,Santa Isabel,-66.38752601862684,17.995366859273396
46003,Aurora,-98.56074508233426,43.7182057110235
48047,Brooks,-98.21850240318872,27.03106421669757
72025,Caguas,-66.05222390382266,18.216487079519773
72033,Cata̱o,-66.13883639898508,18.444979140691338
72101,Morovis,-66.41869238393059,18.31918646051824
31029,Chase,-101.69874176683783,40.52376789787675
72054,Florida,-66.56315175478422,18.37005458243582
08021,Conejos,-106.19105800179466,37.20034892246225
24043,Washington,-77.81571621981105,39.6048280729919
20137,Norton,-99.90282478714933,39.78447287366106
17053,Ford,-88.22449178404842,40.596584646450154
48117,Deaf Smith,-102.605645600556,34.96536968538685
13261,Sumter,-84.19617444590223,32.0390694757413
55075,Marinette,-88.03354594272105,45.383237390614305
06069,San Benito,-121.07466199023298,36.60620669987651
13199,Meriwether,-84.68952912940256,33.04156282765746
19013,Black Hawk,-92.30903441943377,42.469905058710225
19081,Hancock,-93.73390464276262,43.08177127053257
27125,Red Lake,-96.09594801226856,47.87201961542945
31125,Nance,-97.99271318291322,41.39674636075614
42075,Lebanon,-76.45870430592632,40.36762210800712
48219,Hockley,-102.34301703971182,33.60771869900972
48417,Shackelford,-99.35374524295241,32.73568025844258
48451,Tom Green,-100.46235980454468,31.404535057742653
48497,Wise,-97.65486386857484,33.21554791691757
46079,Lake,-97.12818479452578,44.02200647350473
46069,Hyde,-99.48693537623784,44.54675192105865
48101,Cottle,-100.2789832292849,34.07766208562221
04023,Santa Cruz,-110.84647156423169,31.52557092030661
19179,Wapello,-92.40923551013553,41.03071501579867
19031,Cedar,-91.13300987741708,41.77256577721732
30033,Garfield,-106.993497338204,47.27786700009188
29185,St. Clair,-93.77614829144002,38.03714258307903
12091,Okaloosa,-86.59157486409723,30.690982333960516
21219,Todd,-87.17889918029601,36.83514407377104
23003,Aroostook,-68.59783476297147,46.65892811459846
24001,Allegany,-78.69660337859159,39.61958809330857
28075,Lauderdale,-88.66210733613298,32.40441327094611
38021,Dickey,-98.50475057642662,46.1100382634321
27093,Meeker,-94.52965503040018,45.12315649238358
46007,Bennett,-101.66395147591047,43.194896371699066
49043,Summit,-110.95660318138395,40.86738798879513
36099,Seneca,-76.8228131092316,42.78079439877025
20073,Greenwood,-96.23232516438095,37.8772678849491
20101,Lane,-100.4664263807638,38.481071469154685
26123,Newaygo,-85.80153310967943,43.55424133345717
31035,Clay,-98.05083225032314,40.524343237369756
36073,Orleans,-78.23121615934802,43.25184384389247
38063,Nelson,-98.1918235974726,47.92176935238538
40011,Blaine,-98.4326525044751,35.87509525076412
48441,Taylor,-99.88966667290478,32.30178366583379
48011,Armstrong,-101.35759971142451,34.964698340595326
48233,Hutchinson,-101.354865511548,35.84010714396296
48235,Irion,-100.9818971819172,31.303626206543196
55137,Waushara,-89.24370373916834,44.11317496553244
47151,Scott,-84.50448393770355,36.42783224262781
55113,Sawyer,-91.14496345911118,45.87981131560063
26073,Isabella,-84.84741760328494,43.64058859482854
28131,Stone,-89.11638304813943,30.78996963054934
28013,Calhoun,-89.33681950234772,33.93636312113704
31171,Thomas,-100.55632587475269,41.91349365787703
48335,Mitchell,-100.92047362531014,32.30614976911892
08057,Jackson,-106.3431980271007,40.666646927978896
19089,Howard,-92.31680235006516,43.356831920381794
26151,Sanilac,-82.82031930311173,43.42388479054029
18075,Jay,-85.00551589653818,40.43796722459942
38075,Renville,-101.65687637153371,48.71910813179411
41021,Gilliam,-120.21233034565853,45.37739944653188
29119,McDonald,-94.34888245579306,36.62875703170183
48501,Yoakum,-102.82757520521727,33.172967242424264
48075,Childress,-100.2065157339752,34.529326328783675
13097,Douglas,-84.77019590312277,33.70151954287463
02158,Kusilvak,-163.3842942193471,62.15675406003243
19181,Warren,-93.56112846000586,41.33367624816926
40031,Comanche,-98.47157577739206,34.661782520540804
40009,Beckham,-99.68033623012661,35.26812470144964
46017,Buffalo,-99.20511118878026,44.07597093550364
48171,Gillespie,-98.9477373897613,30.318218714596213
48125,Dickens,-100.77852455349208,33.61621771000216
48283,La Salle,-99.10002333617884,28.344900165782843
54093,Tucker,-79.56676539094238,39.11306027863557
06089,Shasta,-122.040240230099,40.76373401830743
17165,Saline,-88.54097870829261,37.75344791121911
26101,Manistee,-86.05692362813251,44.33303141321395
31071,Garfield,-98.9902326750784,41.91429330605365
31041,Custer,-99.72631371038656,41.39365150417526
46097,Miner,-97.60924884543864,44.02211374487309
46025,Clark,-97.7291113451965,44.85827822564871
05037,Cross,-90.77195111504723,35.29606476302462
08007,Archuleta,-107.04956795121677,37.19370964481267
12043,Glades,-81.18976203794304,26.956186172967076
46053,Gregory,-99.18557832107183,43.192573141976695
48195,Hansford,-101.35388178372048,36.277831882536596
53053,Pierce,-122.05718029456737,47.00053650000396
13077,Coweta,-84.76276855537338,33.35365306851735
13059,Clarke,-83.36528469400685,33.951034721447826
18081,Johnson,-86.10213059516667,39.48996193011262
20115,Marion,-97.09720519566014,38.35897211522467
27059,Isanti,-93.2947235543645,45.56238070893345
31003,Antelope,-98.06671627467938,42.17656591492814
39103,Medina,-81.89884842161364,41.117731615559386
47153,Sequatchie,-85.40823870692553,35.36919935632226
48375,Potter,-101.89398023425088,35.40131665609667
48145,Falls,-96.9370408945061,31.253612558409422
38039,Griggs,-98.23650782590738,47.457283959796655
46043,Douglas,-98.36506473457449,43.38700423201274
48193,Hamilton,-98.11059785263059,31.704957317386757
19185,Wayne,-93.32776948697837,40.739624593190165
38087,Slope,-103.46051228880097,46.447213990468626
48399,Runnels,-99.97666526653084,31.831841456297823
04005,Coconino,-111.77035319071533,35.838696636991685
16009,Benewah,-116.66053871520668,47.217279945460014
20007,Barber,-98.68505945341711,37.22908673425456
27133,Rock,-96.2526803808253,43.674724017416416
23029,Washington,-67.62932048648233,45.02119368147162
30051,Liberty,-111.02318231861285,48.562748779323314
46091,Marshall,-97.59908428642223,45.75886391384631
36117,Wayne,-77.02883463976121,43.155895095038225
02060,Bristol Bay,-156.6979412299096,58.74407170846647
12027,DeSoto,-81.80987555426256,27.186764067066875
13015,Bartow,-84.84004684344777,34.23797962849179
19127,Marshall,-92.99880417608065,42.03596879502292
20047,Edwards,-99.31169602160676,37.88759456525196
26129,Ogemaw,-84.12785130546652,44.33461589401619
31093,Howard,-98.51663897443775,41.22016962555599
39063,Hancock,-83.66609868753751,41.00165403752838
21209,Scott,-84.58261608711175,38.29086348127353
47007,Bledsoe,-85.20533178160606,35.59712359210038
37157,Rockingham,-79.77479549479204,36.395995507265035
48189,Hale,-101.82649906627515,34.07053933011903
51820,Waynesboro,-78.9030687612551,38.066284451094255
56025,Natrona,-106.79805733121144,42.96178243045278
48407,San Jacinto,-95.16716257790895,30.579583358643276
55135,Waupaca,-88.96548440504843,44.47081322735586
39067,Harrison,-81.09072567123016,40.2936307946838
13087,Decatur,-84.57925273899657,30.878320356732928
22001,Acadia,-92.41240751842875,30.290989441492734
27019,Carver,-93.80322566825625,44.821106602225505
17065,Hamilton,-88.53867116689985,38.081317421621954
27067,Kandiyohi,-95.0060620242844,45.15261290466737
55071,Manitowoc,-87.81007685913971,44.119712514133575
01013,Butler,-86.68083630506663,31.752620854100073
13169,Jones,-83.5606087353786,33.02472948389945
19069,Franklin,-93.26271333693337,42.73255787791877
18113,Noble,-85.41696586910597,41.398069560103366
20193,Thomas,-101.05572693867254,39.35104683862288
26035,Clare,-84.84820729405655,43.98784822294367
26039,Crawford,-84.60989475199537,44.68325386610787
29225,Webster,-92.87569316074115,37.280665191549815
31005,Arthur,-101.69575611014879,41.56896820195691
31143,Polk,-97.56904020664085,41.18761150294883
46029,Codington,-97.18775663603695,44.977973788261494
48131,Duval,-98.50868793682679,27.682294496172428
48341,Moore,-101.89317074295742,35.83774480118801
48317,Martin,-101.951276365901,32.305784211529264
39083,Knox,-82.4235622112474,40.39951479186
