,date,text,screen_name,followers_count,friends_count,retweet_count,favorite_count
38,2020-02-17 02:57:01,Mike Bloomberg spent almost $2 million dollars on Facebook ads in one day alone. https://t.co/MLMROJNP7k,Cernovich,551074,3027,190,400
39,2020-02-17 02:53:52,"RT @Barnes_Law: This week, the top six Nevada ballot Democratic Presidential candidates spent between $100k &amp; $500k on Facebook ads, many o…",Cernovich,551074,3027,134,0
40,2020-02-17 02:22:27,RT @brithume: Telling.,Cernovich,551074,3027,2323,0
41,2020-02-17 02:21:05,"RT @DonaldJTrumpJr: Bloomberg wouldn’t last 3 seconds as a farmer... but like his comments on minorities, you can tell he really hates regu…",Cernovich,551074,3027,14525,0
42,2020-02-17 00:56:03,"Bloomberg can put every choir woman on staff for GOTV at $5,000 a month and not even bother tracking it as a line item. https://t.co/21PcgHOawY",Cernovich,551074,3027,26,96
43,2020-02-17 00:51:52,RT @Jason: Having @balajis on @TWistartups tomorrow to talk about “ tech press vs. tech leaders” the “link baiting vs intriguing headlines”…,Cernovich,551074,3027,7,0
44,2020-02-17 00:48:29,"Bloomberg does a redemption interview with Oprah. 

Announces new record scholarships for blacks, real big money that puts Bill Gates and Warren Buffett to shame. 

Many many many ways for Bloomberg to win.",Cernovich,551074,3027,60,223
45,2020-02-17 00:41:58,"Beats by Dre were objectively inferior headphones *and* overpriced compared to Sennheiser. 

Didn’t matter. 

Beats by Dre won the daily use headphone market.

Marketing and advertising at high enough levels create reality. 

Bloomberg bags matter.",Cernovich,551074,3027,135,768
46,2020-02-17 00:37:26,"RT @wesbury: Negative interest rates and massive budget deficits, according to Keynsians, are supposed to stimulate economic growth. But Ja…",Cernovich,551074,3027,73,0
47,2020-02-17 00:36:07,What do you think about this? https://t.co/HEd31raci0,Cernovich,551074,3027,1297,1914
48,2020-02-17 00:16:15,"How much of a difference would $100,000 mean to every small black church in the South? 

If I can think of this, Bloomberg can, too.

There is absolutely a path to victory for Bloomberg. https://t.co/kcKU1WHo8h",Cernovich,551074,3027,110,336
49,2020-02-17 00:08:32,"If you're a millionaire, you invest in a mutual fund.

If you're a billionaire, you ARE the mutual fund.

Bloomberg prints billions a year in INTEREST alone.

Most of us simply haven't been around truly obscene wealth like Bloomberg's, and hence underestimate what money CAN buy.",Cernovich,551074,3027,181,730
50,2020-02-17 00:06:22,"Conservatives, traditionally the pro-law enforcement side, now completely distrusts and FBI and Department of Justice.

This distrust will trickle down into juries, with jurors voting to acquit and not trusting FBI testimony.

Fewer people will go to FBI with crime tips, as well.",Cernovich,551074,3027,160,614
51,2020-02-17 00:02:10,Bloomberg will have Stacey Abrams give him the list of every mayor and alderman and church leader who needs a Bloomberg bag and the black vote will turn out at near Obama levels.,Cernovich,551074,3027,166,655
52,2020-02-16 23:58:15,"My TRT clinic has this, on a lark I tried it, pretty impressive technology actually.

https://t.co/RCd2SJSlLN",Cernovich,551074,3027,11,28
53,2020-02-16 23:49:37,@KellyO @realDonaldTrump @FLOTUS Great journalism,Cernovich,551074,3027,55,1813
54,2020-02-16 23:47:15,"RT @ClintBowyer: Not going to lie, I had no idea what to expect.  The man walked in shook all our hands, took selfies, and whatever we aske…",Cernovich,551074,3027,26501,0
55,2020-02-16 23:45:22,RT @Trash4Fun: @nntaleb @Cernovich @RichardDawkins The same principal of Mate Selection VS Eugenics can be thought of like the difference b…,Cernovich,551074,3027,9,0
56,2020-02-16 23:37:16,"RT @CompoundBoss: Facts win again:

“1 spectator sport, and 17 of the top 20 most attended sporting events in the United States are NASCAR…",Cernovich,551074,3027,88,0
57,2020-02-16 23:30:43,RT @ggreenwald: Trump - for all the things he doesn't understand- understands that US politics and especially its elections are a tawdry re…,Cernovich,551074,3027,1066,0
58,2020-02-16 23:27:36,"RT @LdyNJ1: Thanks @Cernovich #BloombergTapes🤔🤔🤔🤔

While sleeping on Bloomberg tapes.

Bloom on video saying: 

- Said to let old people di…",Cernovich,551074,3027,72,0
59,2020-02-16 23:13:45,"Worth noting 

@aoc is an active twitter user and surely has seen this video 

She hasn’t tweeted it out 

She is taking those Bloomberg 💰💰💰 https://t.co/Vov2PJuNEs",Cernovich,551074,3027,701,1746
60,2020-02-16 23:09:32,"RT @_YvonneBurton: @Cernovich I don't know about you guys but I'm much more offended by ""farmers are stupid"" and let old people die"" than I…",Cernovich,551074,3027,119,0
