DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
29Q492,"Mathematics, Science Research and Technology Magne",29408,Campus Magnet,
29Q498,Humanities & Arts Magnet High School,29408,Campus Magnet,
18K617,High School for Innovation in Advertising and Medi,18511,Canarsie Educational Campus,
18K633,High School for Medical Professions,18511,Canarsie Educational Campus,
18K635,Olympus Academy,18511,Canarsie Educational Campus,
18K642,Urban Action Academy,18511,Canarsie Educational Campus,
01M458,Forsyth Satellite Academy,01561,Cascades Center,
01M650,Cascades High School,01561,Cascades Center,
02M376,NYC iSchool,02565,Chelsea Career and Technical Education,
02M615,Chelsea Career and Technical Education High School,02565,Chelsea Career and Technical Education,
