DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
21K468,Kingsborough Early College School,21531,Lafayette Educational Complex,
21K559,Life Academy High School for Film and Music,21531,Lafayette Educational Complex,
21K572,Expeditionary Learning School for Community Leader,21531,Lafayette Educational Complex,
08X293,Renaissance High School for Musical Theater & Tech,08524,Lehman Campus,
08X320,Pelham Lab High School,08524,Lehman Campus,
08X348,Schuylerville Preparatory High School,08524,Lehman Campus,
08X349,Bronx River High School,08524,Lehman Campus,
08X405,Herbert H. Lehman High School,08524,Lehman Campus,
08X408,Herbert H. Lehman Yabc,08524,Lehman Campus,
08X558,Westchester Square Academy,08524,Lehman Campus,
22K535,Leon M. Goldstein High School for the Sciences,22350,Leon M Goldstein  HS for Science,
21K728,Liberation Diploma Plus,21728,Liberation Diploma Plus HS,
02M550,Liberty High School Academy for Newcomers,02507,Liberty High School Academy for Newcomers,
02M655,Life Sciences Secondary School,02647,Life Sciences Secondary,
30Q450,Long Island City High School,30523,Long Island City,
03M402,The Urban Assembly School for Green Careers,03515,Louis Brandeis,
03M403,The Global Learning Collaborative,03515,Louis Brandeis,
03M404,Innovation Diploma Plus,03515,Louis Brandeis,
03M417,Frank Mccourt High School,03515,Louis Brandeis,
01M515,Lower East Side Preparatory High School,01854,Lower East Side Prep,
04M435,Manhattan Center for Science and Mathematics,04504,Manhattan Center for Science & Math,
02M575,Manhattan Comprehensive Night and Day High School,02555,Manhattan Comprehensive High School,
75M035,P.S. 035,02605,Manhattan High School,
02M439,Manhattan Village Academy,02358,Manhattan Village Academy,
13K553,Brooklyn Academy High School,13502,Marcy Avenue Campus,
13K575,Bedford Stuyvesant Preparatory High School,13502,Marcy Avenue Campus,
10X237,"The Marie Curie School for Medicine, Nursing, and",10547,"Marie Curie School for Med., Nurs., Health Prof.",
01M509,Marta Valle High School,01513,Marta Valle H. S.,
03M299,The Maxine Greene HS for Imaginative Inquiry,03548,Martin L. King Jr,
03M307,"Urban Assembly School for Media Studies, The",03548,Martin L. King Jr,
03M492,"High School for Law, Advocacy and Community Justic",03548,Martin L. King Jr,
03M494,High School of Arts and Technology,03548,Martin L. King Jr,
03M541,Manhattan / Hunter Science High School,03548,Martin L. King Jr,
03M859,Special Music School,03548,Martin L. King Jr,
26Q315,Business Technology Early College High School,26525,Martin Van Buren,
26Q435,Martin Van Buren High School,26525,Martin Van Buren,
24Q585,Maspeth High School,28585,Maspeth High School,
31R600,Ralph R. McKee Career and Technical Education High,31511,McKee/Staten Island Tech,
31R605,Staten Island Technical High School,31511,McKee/Staten Island Tech,
17K590,Medgar Evers College Preparatory School,17430,Medgar Evers College Preparatory School,
23K643,Brooklyn Democracy Academy,23643,Metro/BDA @ Thelma J Hamilton Campus,
23K647,Metropolitan Diploma Plus High School,23643,Metro/BDA @ Thelma J Hamilton Campus,
28Q167,Metropolitan Expeditionary Learning School,28686,Metropolitan Campus,
28Q686,Queens Metropolitan High School,28686,Metropolitan Campus,
75Q233,P.S. Q233,28686,Metropolitan Campus,
22K405,Midwood High School,22533,Midwood,
02M418,Millennium High School,02589,Millennium HS,
15K684,Millennium Brooklyn HS,02589,Millennium HS,
09X297,Morris Academy for Collaborative Studies,09511,Morris Educational Campus,
09X403,Bronx International High School,09511,Morris Educational Campus,
09X404,School for Excellence,09511,Morris Educational Campus,
09X543,High School for Violin and Dance,09511,Morris Educational Campus,
09X250,Eximius College Preparatory Academy: A College Boa,09260,Morrisania Educational Campus,
09X260,Bronx Center for Science and Mathematics,09260,Morrisania Educational Campus,
07X557,Mott Haven Community High School,07557,Mott Haven Community High School,
07X527,Bronx Leadership Academy II High School,07548,Mott Haven Educational Campus,
07X547,New Explorers High School,07548,Mott Haven Educational Campus,
07X548,Careers in Sports High School,07548,Mott Haven Educational Campus,
75X188,P.S. X188,07548,Mott Haven Educational Campus,
02M135,The Urban Assembly School for Emergency Management,02546,Murry Bergtraum,
02M280,Manhattan Early College School for Advertising,02546,Murry Bergtraum,
02M282,Urban Assembly Maker Academy,02546,Murry Bergtraum,
02M520,Murry Bergtraum High School for Business Careers,02546,Murry Bergtraum,
01M539,"New Explorations into Science, Technology and Math",01538,NEST+M,
84K486,New Dawn Charter High School,15486,New Dawn Charter High School,
31R440,New Dorp High School,31503,New Dorp,
20K445,New Utrecht High School,20535,New Utrecht,
30Q555,Newcomers High School,30500,Newcomers,
24Q236,International High School for Health Sciences,24527,Newtown,
24Q296,Pan American International High School,24527,Newtown,
24Q455,Newtown High School,24527,Newtown,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,02523,Norman Thomas,
02M432,Murray Hill Academy,02523,Norman Thomas,
02M500,Unity Center for Urban Technologies,02523,Norman Thomas,
84M351,Success Academy Charter School - Harlem 1,02523,Norman Thomas,
75R025,South Richmond High School I.S./P.S. 25,31025,P25R South Richmond High School,
02M298,Pace High School,02652,Pace HS,
02M394,Emma Lazarus High School,02652,Pace HS,
29Q259,Pathways College Preparatory School: A College Boa,29259,Pathways College Prep,
17K122,Pathways in Technology Early College High School (,17546,Paul Robeson Campus High School,
17K751,Academy for Health Careers,17546,Paul Robeson Campus High School,
05M148,Eagle Academy for Young Men of Harlem,05460,Percy E Sutton Educational Campus,
05M304,Mott Hall High School,05460,Percy E Sutton Educational Campus,
31R080,The Michael J. Petrides School,31470,Petrides,
31R445,Port Richmond High School,31505,Port Richmond,
84R067,John W. Lavelle Preparatory Charter School,31505,Port Richmond,
17K524,International High School at Prospect Heights,17537,Prospect Heights Campus,
17K528,The High School for Global Citizenship,17537,Prospect Heights Campus,
17K547,Brooklyn Academy of Science and the Environment,17537,Prospect Heights Campus,
17K548,Brooklyn School for Music & Theatre,17537,Prospect Heights Campus,
25Q540,Queens Academy High School,28600,Queens Academy High School,
