FromType,FromName,Edge,ToType,ToName,Weight
User,1776PROUSA,Retweeted by,User,CaptainFindhorn,1
User,24h_rx,Retweeted by,User,DrdaveAnddee,1
User,42Shanes,Retweeted by,User,Kory07778383,1
User,42Shanes,Retweeted by,User,j2thev88,1
User,808constituent,Retweeted by,User,MauvisSongBird,1
User,AJ_Tierney,Retweeted by,User,DrdaveAnddee,1
User,APB_Pa,Retweeted by,User,2slizeofpizza,1
User,APB_Pa,Retweeted by,User,CapilFor,1
User,APB_Pa,Retweeted by,User,DaletheTarantu1,1
User,APB_Pa,Retweeted by,User,ParkerMorris5,1
User,APB_Pa,Retweeted by,User,William94669768,1
User,APB_Pa,Retweeted by,User,jo_schmidt15,1
User,Aatif_Rashid,Retweeted by,User,HJextor,1
User,AdamUltraberg,Retweeted by,User,DrdaveAnddee,1
User,AdamUltraberg,Retweeted by,User,LauschJack,1
User,AdamUltraberg,Retweeted by,User,yert_lol,1
User,AlexBC997,Retweeted by,User,DrdaveAnddee,1
User,Algorhythm0,Retweeted by,User,KJ_Drizzle_,1
User,AllezLezGo,Retweeted by,User,scrapy,1
User,AmericanMohawk,Retweeted by,User,JanFrye,1
User,AmericanMohawk,Retweeted by,User,MoiraThom,1
User,AmericanMohawk,Retweeted by,User,SafariWoman,1
User,AmericanMohawk,Retweeted by,User,ShaunPBrown,1
User,AmericanMohawk,Retweeted by,User,WanderlustOld,1
User,AmericanMohawk,Retweeted by,User,WheeleyML,1
User,AmericanMohawk,Retweeted by,User,blalock36,1
User,AmericanMohawk,Retweeted by,User,julia4716,1
User,AmericanMohawk,Retweeted by,User,mo5g9,1
User,AmericanMohawk,Retweeted by,User,oahuheather,1
User,AnOligarch,Retweeted by,User,scrapy,1
User,AngryMarkBeer,Retweeted by,User,AngryMarkBeer,1
User,Anon17Light,Retweeted by,User,Anon17Light,1
User,Anon17Light,Retweeted by,User,CalebDHacker,1
User,ArriolaErick,Retweeted by,User,AKC718,1
User,ArriolaErick,Retweeted by,User,BizQuif,1
User,ArriolaErick,Retweeted by,User,EECM66,1
User,ArriolaErick,Retweeted by,User,Kory07778383,1
User,ArriolaErick,Retweeted by,User,NathanBarr13,1
User,ArriolaErick,Retweeted by,User,ZeynabDay,1
User,ArriolaErick,Retweeted by,User,brooklynnygirl,1
User,ArriolaErick,Retweeted by,User,bryan_boleyn,1
User,ArriolaErick,Retweeted by,User,dream_in_static,1
User,ArriolaErick,Retweeted by,User,j2thev88,1
User,ArriolaErick,Retweeted by,User,yert_lol,1
User,AvrilKD,Retweeted by,User,BirdAntifa,1
User,Aydreannah,Retweeted by,User,BernToTheFuture,1
User,Aydreannah,Retweeted by,User,EECM66,1
User,Aydreannah,Retweeted by,User,FoneboneJay,1
User,Aydreannah,Retweeted by,User,Kory07778383,1
User,Aydreannah,Retweeted by,User,darwinthinker_,1
User,Aydreannah,Retweeted by,User,pablotomas444,1
User,Aydreannah,Retweeted by,User,pinkbluepastel,1
User,Aydreannah,Retweeted by,User,realofficialc3,1
User,Aydreannah,Retweeted by,User,yert_lol,1
User,Bananas4Bernie,Retweeted by,User,3AsKicks,1
User,Bananas4Bernie,Retweeted by,User,BluRidge4Bernie,1
User,Bananas4Bernie,Retweeted by,User,BranManagement,1
User,Bananas4Bernie,Retweeted by,User,BuniculaTv,1
User,Bananas4Bernie,Retweeted by,User,CarthyismsRad,1
User,Bananas4Bernie,Retweeted by,User,CiazIcy,1
User,Bananas4Bernie,Retweeted by,User,Cointelprole,1
User,Bananas4Bernie,Retweeted by,User,DarkDrai,1
User,Bananas4Bernie,Retweeted by,User,DaveSmithPhoto,1
User,Bananas4Bernie,Retweeted by,User,DinahLord,1
User,Bananas4Bernie,Retweeted by,User,FuMikechu,1
User,Bananas4Bernie,Retweeted by,User,FuturesCalling,1
User,Bananas4Bernie,Retweeted by,User,IPM_HQ,1
User,Bananas4Bernie,Retweeted by,User,JDsBunker,1
User,Bananas4Bernie,Retweeted by,User,JoannaConn3lly,1
User,Bananas4Bernie,Retweeted by,User,John_n_Oregon,1
User,Bananas4Bernie,Retweeted by,User,Lula_Potiguar,1
User,Bananas4Bernie,Retweeted by,User,MDstJK,1
User,Bananas4Bernie,Retweeted by,User,MirabalMario,1
User,Bananas4Bernie,Retweeted by,User,MurphsIaw,1
User,Bananas4Bernie,Retweeted by,User,MyKeyMoonShine,1
User,Bananas4Bernie,Retweeted by,User,PeaceWalker2084,1
User,Bananas4Bernie,Retweeted by,User,Poormojo,1
User,Bananas4Bernie,Retweeted by,User,RandalZ,1
User,Bananas4Bernie,Retweeted by,User,RingfordGaming,1
User,Bananas4Bernie,Retweeted by,User,SamN44273802,1
User,Bananas4Bernie,Retweeted by,User,SirTwo80,1
User,Bananas4Bernie,Retweeted by,User,Tyler_M_Adolfo,1
User,Bananas4Bernie,Retweeted by,User,UnBanBoi1,1
User,Bananas4Bernie,Retweeted by,User,Vuduchick,1
User,Bananas4Bernie,Retweeted by,User,_gemsa_,1
User,Bananas4Bernie,Retweeted by,User,cesarisai003,1
User,Bananas4Bernie,Retweeted by,User,chekovsbag,1
User,Bananas4Bernie,Retweeted by,User,cujowasagoodboy,1
