FromType,FromName,Edge,ToType,ToName,Weight
User,2slizeofpizza,Retweeted by,User,Kory07778383,1
User,2slizeofpizza,Retweeted by,User,PhillipHefner1,1
User,2slizeofpizza,Retweeted by,User,yangfrpres,1
User,42Shanes,Retweeted by,User,mfosb,1
User,ALeftoverture,Retweeted by,User,bookishboogy23,1
User,ALeftoverture,Retweeted by,User,scrapy,1
User,APB_Pa,Retweeted by,User,yangisforward,1
User,AlexBC997,Retweeted by,User,jude_lanotta,1
User,AmericanMohawk,Retweeted by,User,KerrieDonald4,1
User,AmericanMohawk,Retweeted by,User,LOZ41666248,1
User,AmericanMohawk,Retweeted by,User,MiddleClazzMom,1
User,AmericanMohawk,Retweeted by,User,Pollybooboo1,1
User,AmericanMohawk,Retweeted by,User,tsdickson64,1
User,AnOligarch,Retweeted by,User,LibrariansBern,1
User,AnOligarch,Retweeted by,User,kimmierae61,1
User,Anon17Light,Retweeted by,User,scrapy,1
User,ArriolaErick,Retweeted by,User,3AsKicks,1
User,ArriolaErick,Retweeted by,User,mfosb,1
User,ArriolaErick,Retweeted by,User,mommadore,1
User,Aydreannah,Retweeted by,User,mfosb,1
User,Aydreannah,Retweeted by,User,mommadore,1
User,Bananas4Bernie,Retweeted by,User,20arsenal,1
User,Bananas4Bernie,Retweeted by,User,AgileApophenia,1
User,Bananas4Bernie,Retweeted by,User,CatladyHanna,1
User,Bananas4Bernie,Retweeted by,User,EShaibal,1
User,Bananas4Bernie,Retweeted by,User,ITrump85,1
User,Bananas4Bernie,Retweeted by,User,JKillograms,1
User,Bananas4Bernie,Retweeted by,User,J_CROMO,1
User,Bananas4Bernie,Retweeted by,User,Jamdeeder,1
User,Bananas4Bernie,Retweeted by,User,Jamiegeosol,1
User,Bananas4Bernie,Retweeted by,User,JasperTheLefty,1
User,Bananas4Bernie,Retweeted by,User,KiddMatte,1
User,Bananas4Bernie,Retweeted by,User,TheNotoriousPIA,1
User,Bananas4Bernie,Retweeted by,User,UrbanWonKenobi,1
User,Bananas4Bernie,Retweeted by,User,Valzn,1
User,Bananas4Bernie,Retweeted by,User,clinton_group,1
User,Bananas4Bernie,Retweeted by,User,daguz80,1
User,Bananas4Bernie,Retweeted by,User,darwinthinker_,1
User,Bananas4Bernie,Retweeted by,User,lem0ndust,1
User,Bananas4Bernie,Retweeted by,User,mommadore,1
User,Bananas4Bernie,Retweeted by,User,moneill__,1
User,Bananas4Bernie,Retweeted by,User,natanael_zc,1
User,Bananas4Bernie,Retweeted by,User,rain_stuart,1
User,Bananas4Bernie,Retweeted by,User,sol_racs,1
User,Bananas4Bernie,Retweeted by,User,theghettojoker,1
User,Bananas4Bernie,Retweeted by,User,yangismypotus,1
User,Bananas4Bernie,Retweeted by,User,yurajaro,1
User,Bananas4Bernie,Retweeted by,User,zombienomicon,1
User,Barebeautybody,Retweeted by,User,DJMille26866097,1
User,Barebeautybody,Retweeted by,User,Elgin02684839,1
User,Barebeautybody,Retweeted by,User,Mingygirl,1
User,Barebeautybody,Retweeted by,User,bzarillo,1
User,Barebeautybody,Retweeted by,User,cyndybs,1
User,Barebeautybody,Retweeted by,User,igmcdizzy,1
User,Barebeautybody,Retweeted by,User,mfosb,1
User,Barebeautybody,Retweeted by,User,mommadore,1
User,Barebeautybody,Retweeted by,User,tweets4twits,1
User,BeauTFC,Retweeted by,User,AgainDianne,1
User,BeauTFC,Retweeted by,User,PranaysGhost,1
User,BeauTFC,Retweeted by,User,QuinnDora,1
User,BeauTFC,Retweeted by,User,heatherOfDragon,1
User,BeauTFC,Retweeted by,User,miles_strand,1
User,BeefySnacks,Retweeted by,User,Yokai_chan,1
User,BernForBernie20,Retweeted by,User,AcousticMap,1
User,BernForBernie20,Retweeted by,User,ArcticFox_am_I,1
User,BernForBernie20,Retweeted by,User,BluRidge4Bernie,1
User,BernForBernie20,Retweeted by,User,DaveGra37404239,1
User,BernForBernie20,Retweeted by,User,DonKaiju313,1
User,BernForBernie20,Retweeted by,User,Dreath16,1
User,BernForBernie20,Retweeted by,User,Hollow_Lil,1
User,BernForBernie20,Retweeted by,User,JackThePK_,1
User,BernForBernie20,Retweeted by,User,LehmannBro,1
User,BernForBernie20,Retweeted by,User,Luscunt,1
User,BernForBernie20,Retweeted by,User,NancyRog11,1
User,BernForBernie20,Retweeted by,User,TIsthegoat,1
User,BernForBernie20,Retweeted by,User,Teddyshouse2II,1
User,BernForBernie20,Retweeted by,User,ThinkivistBlog,1
User,BernForBernie20,Retweeted by,User,beingray,1
User,BernForBernie20,Retweeted by,User,dream_in_static,1
User,BernForBernie20,Retweeted by,User,fries_johnny,1
User,BernForBernie20,Retweeted by,User,jennife57097358,1
User,BernForBernie20,Retweeted by,User,jsthibodeaux,1
User,BernForBernie20,Retweeted by,User,laughingliberal,1
User,BernForBernie20,Retweeted by,User,mommadore,1
User,BernForBernie20,Retweeted by,User,silverwolfcc,1
User,BernForBernie20,Retweeted by,User,themyndzai,1
