FromType,FromName,Edge,ToType,ToName,Weight
User,2row,Retweeted by,User,bernorjill,1
User,8___Tristan___8,Retweeted by,User,8___Tristan___8,2
User,8___Tristan___8,Retweeted by,User,lizjclark80,1
User,ACEBIGGLIL,Retweeted by,User,DarkDrai,1
User,ACEBIGGLIL,Retweeted by,User,FrancisNgannou_,1
User,ACEBIGGLIL,Retweeted by,User,LVanessa213,1
User,ACEBIGGLIL,Retweeted by,User,kirbygloverredo,1
User,ALeftoverture,Retweeted by,User,AnnabelleHawk2,1
User,ALeftoverture,Retweeted by,User,BluRidge4Bernie,1
User,ALeftoverture,Retweeted by,User,DebsDiaries,1
User,APB_Pa,Retweeted by,User,PDXorax,2
User,AdrianneEcho,Retweeted by,User,RynnBrooke,1
User,AdrianneEcho,Retweeted by,User,jonrocks69,1
User,AdrianneEcho,Retweeted by,User,rotunda_rotunda,1
User,AdrianneEcho,Retweeted by,User,taddyho,1
User,AlineValdez13,Retweeted by,User,MikeJoh81830484,1
User,AlineValdez13,Retweeted by,User,mkelly317,1
User,AllenTaira,Retweeted by,User,Randy_Relf,1
User,AmericanMohawk,Retweeted by,User,HillbillyTruth2,1
User,AngryArab1,Retweeted by,User,HThurs,1
User,AnnOster13,Retweeted by,User,FrostlichTheDK,1
User,AnneRadley,Retweeted by,User,debaptiste_john,1
User,ArriolaErick,Retweeted by,User,Skankyhunt,1
User,Bananas4Bernie,Retweeted by,User,AeldariMark,1
User,Bananas4Bernie,Retweeted by,User,AnnabelleHawk2,1
User,Bananas4Bernie,Retweeted by,User,ArielleCurtin,1
User,Bananas4Bernie,Retweeted by,User,FishermanYooper,1
User,Bananas4Bernie,Retweeted by,User,Fredric_Ward,1
User,Bananas4Bernie,Retweeted by,User,HailieTattrie,1
User,Bananas4Bernie,Retweeted by,User,HannahY46659731,1
User,Bananas4Bernie,Retweeted by,User,IanGabrielDraws,1
User,Bananas4Bernie,Retweeted by,User,IsotopeC14,1
User,Bananas4Bernie,Retweeted by,User,JMotley9,1
User,Bananas4Bernie,Retweeted by,User,KeelingCurve_9,1
User,Bananas4Bernie,Retweeted by,User,LynnRudd7,1
User,Bananas4Bernie,Retweeted by,User,MaudlinMaenad,1
User,Bananas4Bernie,Retweeted by,User,R3d_Horse,1
User,Bananas4Bernie,Retweeted by,User,RMpodol,1
User,Bananas4Bernie,Retweeted by,User,RtDassler,1
User,Bananas4Bernie,Retweeted by,User,SJB6991,1
User,Bananas4Bernie,Retweeted by,User,Sarushi_BR,1
User,Bananas4Bernie,Retweeted by,User,SebastosPublius,1
User,Bananas4Bernie,Retweeted by,User,Tachyon_Master,1
User,Bananas4Bernie,Retweeted by,User,TheRuralLife4Me,1
