FromType,FromName,Edge,ToType,ToName,Weight
User,2016GetOverIt,Retweeted by,User,songman1953,1
User,3rdHausSon,Retweeted by,User,schristine2315,1
User,ACEBIGGLIL,Retweeted by,User,njrobbins4,1
User,APB_Pa,Retweeted by,User,bigdiesel_007,1
User,APB_Pa,Retweeted by,User,schristine2315,2
User,AcousticMap,Retweeted by,User,Iam_Mimi_Long,1
User,AcousticMap,Retweeted by,User,supernovamarie,1
User,AdaraScarlet,Retweeted by,User,HThurs,1
User,AdrianneEcho,Retweeted by,User,BonnieTBot,1
User,AdrianneEcho,Retweeted by,User,DarkDrai,1
User,AdrianneEcho,Retweeted by,User,DownsouthD,1
User,AdrianneEcho,Retweeted by,User,IndiansForYang,1
User,AdrianneEcho,Retweeted by,User,Midwest_Chef,1
User,AdrianneEcho,Retweeted by,User,bernorjill,1
User,Alscool1,Retweeted by,User,larrybirdmurphy,1
User,AmericaRising17,Retweeted by,User,artbizca_ching,1
User,AmericanMohawk,Retweeted by,User,SusanABriggs6,1
User,AnnOster13,Retweeted by,User,AnnabelleHawk2,1
User,AnnOster13,Retweeted by,User,Databob,1
User,AnnOster13,Retweeted by,User,MdNasir81346476,1
User,AnnOster13,Retweeted by,User,be_realie,1
User,AnnOster13,Retweeted by,User,hind2020sight,1
User,AnnOster13,Retweeted by,User,kokeshi_me,1
User,AnnOster13,Retweeted by,User,larrybirdmurphy,1
User,AnnOster13,Retweeted by,User,lyrical_fork,1
User,AnnOster13,Retweeted by,User,silkyheckes,1
User,AnnOster13,Retweeted by,User,vedadalsette,2
User,ArriolaErick,Retweeted by,User,PottPoll,1
User,ArriolaErick,Retweeted by,User,WhiskersCrowley,1
User,Bananas4Bernie,Retweeted by,User,BlackTrain,1
User,Bananas4Bernie,Retweeted by,User,CubeRobsSoul,1
User,Bananas4Bernie,Retweeted by,User,GabsSydney26,1
User,Bananas4Bernie,Retweeted by,User,HeidiOBrien8,1
User,Bananas4Bernie,Retweeted by,User,Justin10135200,1
User,Bananas4Bernie,Retweeted by,User,NC_Zero,1
User,Bananas4Bernie,Retweeted by,User,Orwell_2012,1
User,Bananas4Bernie,Retweeted by,User,Renzomang,1
User,Bananas4Bernie,Retweeted by,User,RiseUpPeeps,1
User,Bananas4Bernie,Retweeted by,User,SaloneBoy804,1
User,Bananas4Bernie,Retweeted by,User,UnironicA,1
User,Bananas4Bernie,Retweeted by,User,_fleetwoodcam,1
User,Bananas4Bernie,Retweeted by,User,couponpadawan,1
User,Bananas4Bernie,Retweeted by,User,dill_the_skinny,1
User,Bananas4Bernie,Retweeted by,User,ivotebernie2020,1
User,Bananas4Bernie,Retweeted by,User,march4progress,1
User,Bananas4Bernie,Retweeted by,User,meetnpatatas,1
User,Bananas4Bernie,Retweeted by,User,neesietweets,1
User,Bananas4Bernie,Retweeted by,User,nenedid,1
User,Bananas4Bernie,Retweeted by,User,shipman96,1
User,Bananas4Bernie,Retweeted by,User,ultimate1842,1
User,Bananas4Bernie,Retweeted by,User,up_viking,1
